"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3264","Verify Valid login","Google Chrome","2026-02-22","passed","2026-02-22","","loginpage.spec.ts","",""
"","2269","Verify Invalid login","Google Chrome","2026-02-22","passed","2026-02-22","","loginpage.spec.ts","",""
